event_id,pet,frame,track_a,track_b,orig_track_a,seg_a,orig_track_b,seg_b,conflict_type,grid_cell,track_a_entry_frame,track_a_exit_frame,track_b_entry_frame,track_b_exit_frame,site,time_of_day_label,gate_a_entry,gate_b_entry,first_track_id,second_track_id,first_exit_frame,first_exit_time_sec,second_entry_frame,second_entry_time_sec,pet_frames,pet_s,occupancy_relation,run_id,pipeline_version,git_commit,config_hash,fps,pet_method,conflict_zone_coordinate_system,conflict_zone_half_size_m
162,0.7331493013972056,187,97000,92003,97,0,92,3,other,cell_N_1,187,187,132,165,GITI,unspecified,,,92003,97000,165,5.5,187,6.233333333333333,22,0.7333333333333333,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
0,1.49962374807396,61,10000,4000,10,0,4,0,other,cell_K_6,61,67,9,16,MRC,unspecified,MRC_East,MRC_North,4000,10000,16,0.5333333333333333,61,2.033333333333333,45,1.5,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
1,2.899272579609656,158,10000,5000,10,0,5,0,other,cell_N_5,158,164,62,71,MRC,unspecified,MRC_East,MRC_South,5000,10000,71,2.3666666666666667,158,5.266666666666667,87,2.9,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
2,1.632923636791645,82,5000,72000,5,0,72,0,side_swipe,cell_G_3,23,33,82,93,MRC,unspecified,MRC_South,,5000,72000,33,1.1,82,2.7333333333333334,49,1.6333333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
3,1.3663238593562743,260,5000,100000,5,0,100,0,head_on,cell_R_6,216,219,260,275,MRC,unspecified,MRC_South,MRC_South,5000,100000,219,7.3,260,8.666666666666666,41,1.3666666666666667,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
4,1.0663991097414829,37,19000,7000,19,0,7,0,rear_end,cell_N_5,37,45,3,5,MRC,unspecified,MRC_South,MRC_East,7000,19000,5,0.1666666666666666,37,1.2333333333333334,32,1.0666666666666669,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
5,1.566273692432803,76,10000,13000,10,0,13,0,other,cell_L_5,21,29,76,82,MRC,unspecified,MRC_East,MRC_North,10000,13000,29,0.9666666666666668,76,2.533333333333333,47,1.5666666666666669,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
6,1.99949833076528,62,19000,10000,19,0,10,0,other,cell_N_5,62,71,0,2,MRC,unspecified,MRC_South,MRC_East,10000,19000,2,0.0666666666666666,62,2.066666666666667,60,2.0,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
7,2.99924749614792,179,14000,16000,14,0,16,0,side_swipe,cell_C_3,64,89,179,190,MRC,unspecified,MRC_North,MRC_North,14000,16000,89,2.966666666666667,179,5.966666666666667,90,3.0,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
8,1.2330239706385893,239,88001,14001,88,1,14,1,other,cell_A_1,239,248,188,202,MRC,unspecified,,,14001,88001,202,6.733333333333333,239,7.966666666666667,37,1.2333333333333334,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
9,1.7662235255093306,107,72000,15000,72,0,15,0,other,cell_F_3,107,152,43,54,MRC,unspecified,,,15000,72000,54,1.8,107,3.566666666666667,53,1.7666666666666666,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
10,1.49962374807396,90,16000,62002,16,0,62,2,side_swipe,cell_J_6,39,45,90,95,MRC,unspecified,MRC_North,MRC_North,16000,62002,45,1.5,90,3.0,45,1.5,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
11,1.2330239706385893,129,38000,86001,38,0,86,1,other,cell_N_4,0,92,129,209,MRC,unspecified,,,38000,86001,92,3.066666666666667,129,4.3,37,1.2333333333333334,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
12,2.1327982194829653,156,38000,90000,38,0,90,0,other,cell_N_4,0,92,156,299,MRC,unspecified,,,38000,90000,92,3.066666666666667,156,5.2,64,2.1333333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
13,2.4660479412771785,103,46000,68000,46,0,68,0,rear_end,cell_Q_10,27,29,103,215,MRC,unspecified,,,46000,68000,29,0.9666666666666668,103,3.433333333333333,74,2.466666666666667,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
14,0.7331493879472694,33,46000,69000,46,0,69,0,rear_end,cell_Q_10,0,11,33,33,MRC,unspecified,,,46000,69000,11,0.3666666666666666,33,1.1,22,0.7333333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
15,0.7664743601266907,52,46000,75000,46,0,75,0,other,cell_Q_10,27,29,52,76,MRC,unspecified,,,46000,75000,29,0.9666666666666668,52,1.7333333333333334,23,0.7666666666666667,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
